Alimento,Nombre en Inglés,Energía calculada,Proteína,Grasa total,Carbohidratos,Fibra,AGS,AGM,AGPI,Colesterol,Calcio,Fósforo,Hierro,Potasio,Sodio,Zinc,Vitamina C,Vitamina A,Folatos,Vitamina B12,Tipo
"Amaranto, grano seco","Amaranth, grain, dry, uncooked",381.07,14.45,6.51,66.17,9.3,1.66,1.43,2.89,0.0,153.0,455.0,7.59,366.0,21.0,3.18,4.0,0.0,49.0,0.0,"cereales, tuberculos y platanos"
"Arroz blanco grano largo, cocido","Rice, white, long-grain, unenriched, cooked, with salt",125.96,2.69,0.28,28.17,0.4,0.08,0.09,0.08,0.0,10.0,43.0,0.2,35.0,382.0,0.49,0.0,0.0,3.0,0.0,"cereales, tuberculos y platanos"
"Arroz blanco, grano corto","Rice, white, short-grain, unenriched, raw",347.28,6.5,0.52,79.15,,0.14,0.16,0.14,0.0,3.0,95.0,0.8,76.0,1.0,1.1,0.0,,6.0,0.0,"cereales, tuberculos y platanos"
"Arroz blanco, grano corto, cocido","Rice, white, short-grain, unenriched, cooked",126.07,2.36,0.19,28.73,,0.05,0.06,0.05,0.0,1.0,33.0,0.2,26.0,0.0,0.4,0.0,,2.0,0.0,"cereales, tuberculos y platanos"
"Arroz blanco, grano largo crudo","Rice, white, long-grain, raw, unenriched",354.26,7.13,0.66,79.95,1.3,0.18,0.21,0.18,0.0,28.0,115.0,0.8,115.0,5.0,1.09,0.0,0.0,8.0,0.0,"cereales, tuberculos y platanos"
"Arroz blanco, grano largo, parbolizado, cocido","Rice, white, long-grain, parabolized, unenriched, cooked",119.17,2.91,0.37,26.05,0.9,0.07,0.07,0.09,0.0,19.0,55.0,0.24,56.0,2.0,0.37,0.0,,3.0,0.0,"cereales, tuberculos y platanos"
"Arroz blanco, grano largo, parbolizado, crudo","Rice, white, long-grain, parabolized, unenriched, dry",362.87,7.51,1.03,80.89,1.8,0.29,0.26,0.32,0.0,71.0,153.0,0.74,174.0,2.0,1.02,0.0,0.0,8.0,0.0,"cereales, tuberculos y platanos"
"Arroz blanco, grano medio, cocido","Rice, white, medium-grain, unenriched, cooked",125.77,2.38,0.21,28.59,,0.06,0.07,0.06,0.0,3.0,37.0,0.2,29.0,0.0,0.42,0.0,,2.0,0.0,"cereales, tuberculos y platanos"
"Arroz blanco, grano medio, crudo","Rice, white, medium-grain, unenriched, raw",349.02,6.61,0.58,79.34,,0.16,0.18,0.16,0.0,9.0,108.0,0.8,86.0,1.0,1.16,0.0,,9.0,0.0,"cereales, tuberculos y platanos"
"Arroz blanco, pulido, enriquecido,precocido","Rice, white, long-grain, precooked, enriched, dry",369.02,7.82,0.94,82.32,1.9,0.15,0.14,0.22,0.0,22.0,118.0,6.3,27.0,10.0,1.43,0.0,0.0,466.0,0.0,"cereales, tuberculos y platanos"
